"trackid","artistname","tracknumber","duration","artistid","tracktitle","releasetitle","releaseid"
163434,"Enrique Iglesias",1,211,1455,"Rhythm Divine","Enrique",15560
163436,"Enrique Iglesias",3,264,1455,"I Have Always Loved You","Enrique",15560
163443,"Enrique Iglesias",10,212,1455,"Bailamos","Enrique",15560
164161,"Sting",3,266,71,"Englishman In New York","The Very Best Of Sting And The Police",15606
164168,"The Police",10,247,1480,"De Do Do Do, De Da Da Da","The Very Best Of Sting And The Police",15606
164187,"Nicole Kidman / Ewan McGregor",11,287,74186,"Come What May","Moulin Rouge I &amp; II",15607
164396,"Eminem",1,322,262,"Lose Yourself","8 Mile",15621
164398,"Eminem",3,359,262,"8 Mile","8 Mile",15621
164442,"Eminem",202,303,262,"Stimulate","8 Mile",15623
164482,"50 Cent",4,256,1297,"Many Men (Wish Death)","Get Rich Or Die Tryin'",15626
164483,"50 Cent",5,193,1297,"In Da Club","Get Rich Or Die Tryin'",15626
164489,"50 Cent",11,249,1297,"P.I.M.P.","Get Rich Or Die Tryin'",15626
164549,"50 Cent",5,193,1297,"In Da Club","Get Rich Or Die Tryin'",15630
164627,"Cher",1,240,248,"If I Could Turn Back Time","Heart Of Stone",15635
164651,"Guns N' Roses",3,184,678,"Live And Let Die","Use Your Illusion I",15637
164653,"Guns N' Roses",5,144,678,"Perfect Crime","Use Your Illusion I",15637
164658,"Guns N' Roses",10,538,678,"November Rain","Use Your Illusion I",15637
164676,"Guns N' Roses",12,344,678,"You Could Be Mine","Use Your Illusion II",15638
164686,"Cher",8,248,248,"Just Like Jesse James","Cher's Greatest Hits: 1965-1992",15639
164998,"Tindersticks",15,372,84,"Raindrops","The First Tindersticks Album",15663
166306,"Bryan Adams",6,221,1428,"When You Love Someone","MTV Unplugged",15753
166341,"Extreme",8,336,1385,"More Than Words","The Best Of Extreme (An Accidental Collication Of Atoms)",15755
166783,"Deep Purple",5,328,655,"Perfect Strangers","Perfect Strangers",15778
167751,"Oasis",3,258,8329,"Wonderwall","(What's The Story) Morning Glory",15857
168496,"The Righteous Brothers",1,225,129609,"You've Lost That Lovin' Feelin'","The Very Best Of The Righteous Brothers - Unchained Melody",15937
168497,"The Righteous Brothers",2,216,129609,"Unchained Melody","The Very Best Of The Righteous Brothers - Unchained Melody",15937
168688,"Carpenters",9,107,288932,"Da Doo Ron Ron","Now &amp; Then",15952
169745,"Sting",5,268,71,"Englishman In New York","Fields Of Gold - The Best Of Sting 1984 - 1994",2350
170191,"Rainbow",5,506,1376,"Stargazer","Rising",16060
170589,"Eagles",2,243,47958,"Love Will Keep Us Alive","Hell Freezes Over",15988
170590,"Eagles",3,204,47958,"The Girl From Yesterday","Hell Freezes Over",15988
170593,"Eagles",6,432,47958,"Hotel California","Hell Freezes Over",15988
170646,"White Zombie",11,289,10940,"I'm Your Boogie Man","Supersexy Swingin' Sounds",15992
170933,"Lionel Richie",10,237,237,"Endless Love","Lionel Richie",16081
171933,"Kool &amp; The Gang",7,182,288,"Funky Stuff","Gold",16137
171938,"Kool &amp; The Gang",12,260,288,"Summer Madness","Gold",16137
172783,"The Pussycat Dolls",3,242,7059,"Don't Cha","Don't Cha",16176
173284,"Alfie",8,208,478,"Wizzo","Crying At Teatime",16233
173425,"Basement Jaxx",15,296,11509,"Samba Magic","The Singles",16276
174308,"30 Seconds To Mars",1,188,11565,"ATTACK","A Beautiful Lie",16369
177746,"Zámbó Jimmy",3,264,5719,"Egyszer megjavulok én","Legsikeresebb dalai Best of I.",16657
177753,"Zámbó Jimmy",10,227,5719,"Kisfiam","Legsikeresebb dalai Best of I.",16657
177754,"Zámbó Jimmy",11,244,5719,"Dalolj gitár","Legsikeresebb dalai Best of I.",16657
177757,"Zámbó Jimmy",14,230,5719,"Már nem fáj","Legsikeresebb dalai Best of I.",16657
178538,"Nightwish",1,373,11846,"Bless The Child","Century Child",16710
178543,"Nightwish",6,231,11846,"Forever Yours","Century Child",16710
178689,"Gwen Stefani",1,189,1059,"Cool","Cool",16726
178721,"The Pussycat Dolls",5,226,7059,"Buttons","PCD",16730
181673,"Zero 7",1,305,612,"I Have Seen","Simple Things",16949
184386,"Project Pitchfork",2,264,5480,"Timekiller (Video Edit / Original)","Daimonion",17250
193079,"Linkin Park",1,185,12873,"Papercut","Hybrid Theory",18150
193080,"Linkin Park",2,160,12873,"One Step Closer","Hybrid Theory",18150
193082,"Linkin Park",4,202,12873,"Points Of Authority","Hybrid Theory",18150
193083,"Linkin Park",5,211,12873,"Crawling","Hybrid Theory",18150
193084,"Linkin Park",6,184,12873,"Runaway","Hybrid Theory",18150
193085,"Linkin Park",7,190,12873,"By Myself","Hybrid Theory",18150
193086,"Linkin Park",8,219,12873,"In The End","Hybrid Theory",18150
196319,"Gavin Greenaway / The Lyndhurst Orchestra / Hans Zimmer / Lisa Gerrard / Bruce Fowler / Elizabeth Finch / Jack Smalley / Ladd McIntosh / Walt Fowler / Yvonne S. Moriarty",8,82,766806,"The Emperor Is Dead","Gladiator - Music From The Motion Picture",18463
196328,"Gavin Greenaway / The Lyndhurst Orchestra / Lisa Gerrard / Hans Zimmer / Bruce Fowler / Elizabeth Finch / Jack Smalley / Ladd McIntosh / Walt Fowler / Yvonne S. Moriarty",17,254,2433729,"Now We Are Free","Gladiator - Music From The Motion Picture",18463
196330,"Hans Zimmer",202,287,9855,"Now We Are Free (Juba's Mix)","Gladiator - Music From The Motion Picture",18463
196346,"Hans Zimmer",218,230,9855,"Now We Are Free (Maximus Mix)","Gladiator - Music From The Motion Picture",18463
196650,"Stevie Wonder",8,290,66,"Passionate Raindrops","A Time To Love",18497
196825,"Smash Mouth",1,201,1447,"All Star","All Star Smash Hits",18514
196829,"Smash Mouth",5,286,1447,"Why Can't We Be Friends","All Star Smash Hits",18514
197544,"Sean Paul",7,243,4562,"Give It Up To Me","The Trinity",18624
197926,"Simple Plan",12,229,913,"Untitled (How Could This Happen To Me?) (MTV Hard Rock Live Version)","MTV Hard Rock Live",18655
198023,"Madonna",7,242,6051,"La Isla Bonita","True Blue",18663
198034,"Madonna",7,400,6051,"Physical Attraction","Madonna",18664
198975,"Sugababes",9,232,7,"Obsession","Taller In More Ways",18725
199272,"Snoop Dogg",1,298,1130,"Beautiful (Feat. Pharrell, Uncle Charlie Wilson)","The Best Of Snoop Dogg",18780
200366,"Nightwish",6,372,11846,"Bless The Child","Highest Hopes-The Best Of Nightwish",18937
200368,"Nightwish",8,263,11846,"Sleeping Sun","Highest Hopes-The Best Of Nightwish",18937
200373,"Nightwish",13,263,11846,"Wishmaster","Highest Hopes-The Best Of Nightwish",18937
201252,"Tori Amos",8,308,4396,"Cornflake Girl","Under the Pink",19067
205829,"Blink 182",3,166,2,"Dammit","Greatest Hits",19626
205836,"Blink 182",10,171,2,"First Date","Greatest Hits",19626
209063,"Bob Marley &amp; The Wailers",217,193,159,"Iron Lion Zion","Africa Unite: The Singles Collection",20014
211490,"Rui Veloso",1,243,14228,"Porto Côvo","Rui Veloso",20334
211493,"Rui Veloso",4,321,14228,"Directo À Cabeça","Rui Veloso",20334
211495,"Rui Veloso",6,166,14228,"A Origem Do Mal","Rui Veloso",20334
211496,"Rui Veloso",7,260,14228,"O Negro Do Rádio De Pilhas","Rui Veloso",20334
211498,"Rui Veloso",9,286,14228,"Beirã","Rui Veloso",20334
211499,"Rui Veloso",10,296,14228,"Champanhe","Rui Veloso",20334
216203,"Fort Minor",2,230,14091,"Remember The Name (feat. Styles Of Beyond)","The Rising Tied",20796
